,Airline,Source,Destination,Total_Stops,Price,Date,Month,Year,Day_no,Arrival_hour,Arrival_min,Dep_hour,Dep_min,dur_float
2277,Jet Airways,Kolkata,Banglore,1,14151,6,9,2019,4,10,55,17,0,17.916666666666668
2278,Jet Airways,Banglore,Delhi,0,4030,21,5,2019,1,14,5,11,10,2.9166666666666665
2279,IndiGo,Kolkata,Banglore,1,4226,5,6,2019,2,23,15,19,35,3.6666666666666665
2280,Air India,Delhi,Cochin,1,11050,3,9,2019,1,19,15,4,0,15.25
2281,Air India,Banglore,Delhi,0,6961,21,5,2019,1,12,45,10,0,2.75
2282,Jet Airways,Kolkata,Banglore,1,14231,24,3,2019,6,9,15,21,10,12.083333333333334
2283,Jet Airways,Delhi,Cochin,2,10919,27,6,2019,3,12,35,14,35,22.0
2284,Air India,Delhi,Cochin,2,10913,27,3,2019,2,19,15,7,0,12.25
2285,IndiGo,Chennai,Kolkata,0,5277,27,6,2019,3,0,25,22,5,2.3333333333333335
2286,Multiple carriers,Delhi,Cochin,1,7485,21,5,2019,1,21,0,10,20,10.666666666666666
2287,Jet Airways,Kolkata,Banglore,1,14231,24,3,2019,6,16,20,16,55,23.416666666666668
2288,GoAir,Delhi,Cochin,1,4201,4,6,2019,1,13,35,7,25,6.166666666666667
2289,Air India,Delhi,Cochin,0,7931,3,6,2019,0,17,10,14,10,3.0
2290,Multiple carriers,Delhi,Cochin,1,6513,15,5,2019,2,22,30,14,55,7.583333333333333
2291,Jet Airways,Delhi,Cochin,1,14714,6,6,2019,3,19,0,15,0,28.0
2292,IndiGo,Kolkata,Banglore,1,6218,5,9,2019,3,23,30,18,5,5.416666666666667
2293,Air India,Delhi,Cochin,2,8603,27,6,2019,3,19,15,12,0,7.25
2294,IndiGo,Delhi,Cochin,1,7318,21,5,2019,1,21,0,8,30,12.5
2295,Multiple carriers,Delhi,Cochin,1,13504,15,6,2019,5,19,0,10,0,9.0
2296,Multiple carriers,Delhi,Cochin,1,9646,15,5,2019,2,22,30,7,5,15.416666666666666
2297,IndiGo,Kolkata,Banglore,0,5224,27,5,2019,0,14,5,11,30,2.5833333333333335
2298,Jet Airways,Kolkata,Banglore,1,12692,6,12,2019,4,18,0,9,35,8.416666666666666
2299,Jet Airways,Kolkata,Banglore,1,9689,6,6,2019,3,17,35,10,20,7.25
2300,Air India,Kolkata,Banglore,2,13033,5,9,2019,3,1,20,10,0,15.333333333333334
2301,Jet Airways,Kolkata,Banglore,1,13626,6,12,2019,4,16,20,6,30,9.833333333333334
2302,IndiGo,Mumbai,Hyderabad,0,2754,18,5,2019,5,20,35,19,5,1.5
2303,Jet Airways,Kolkata,Banglore,1,12121,5,9,2019,3,9,45,17,0,16.75
2304,IndiGo,Banglore,Delhi,0,3419,24,4,2019,2,4,15,1,30,2.75
2305,Air India,Kolkata,Banglore,2,13033,21,5,2019,1,1,20,10,0,15.333333333333334
2306,IndiGo,Kolkata,Banglore,0,4174,4,6,2019,1,7,15,4,40,2.5833333333333335
2307,Air Asia,Delhi,Cochin,1,6152,27,6,2019,3,22,25,7,55,14.5
2308,Air India,Delhi,Cochin,0,5201,27,6,2019,3,8,0,5,10,2.8333333333333335
2309,Jet Airways,Banglore,New Delhi,1,9134,15,3,2019,4,16,10,7,0,9.166666666666666
2310,Air India,Kolkata,Banglore,2,13243,18,5,2019,5,1,20,7,0,18.333333333333332
2311,Jet Airways,Delhi,Cochin,2,15129,27,5,2019,0,4,25,5,30,22.916666666666668
2312,Jet Airways,Mumbai,Hyderabad,0,2759,5,9,2019,3,21,5,19,35,1.5
2313,IndiGo,Banglore,Delhi,0,4423,15,5,2019,2,8,50,6,5,2.75
2314,Vistara,Kolkata,Banglore,1,9187,18,5,2019,5,22,40,7,10,15.5
2315,Multiple carriers,Delhi,Cochin,1,7740,18,5,2019,5,22,30,7,10,15.333333333333334
2316,Jet Airways,Banglore,Delhi,0,6144,24,5,2019,4,22,50,19,50,3.0
2317,Multiple carriers,Delhi,Cochin,1,10877,6,9,2019,4,12,35,4,55,7.666666666666667
2318,IndiGo,Delhi,Cochin,1,6442,15,6,2019,5,22,30,11,55,10.583333333333334
2319,IndiGo,Delhi,Cochin,1,7048,27,3,2019,2,15,30,4,45,10.75
2320,Multiple carriers,Delhi,Cochin,1,5797,27,6,2019,3,1,30,15,15,10.25
2321,Air India,Banglore,New Delhi,2,10573,3,3,2019,6,23,55,6,45,17.166666666666668
2322,IndiGo,Delhi,Cochin,1,7503,15,5,2019,2,21,0,8,30,12.5
2323,IndiGo,Delhi,Cochin,1,6104,6,12,2019,4,1,30,17,30,8.0
2324,Jet Airways,Kolkata,Banglore,1,9663,5,9,2019,3,8,15,21,10,11.083333333333334
2325,Jet Airways,Banglore,Delhi,0,5769,6,3,2019,2,14,5,11,10,2.9166666666666665
2326,Air India,Mumbai,Hyderabad,0,3100,15,6,2019,5,15,25,13,55,1.5
2327,Jet Airways,Delhi,Cochin,1,12373,18,5,2019,5,4,25,17,30,10.916666666666666
2328,SpiceJet,Kolkata,Banglore,0,3815,15,3,2019,4,11,30,9,0,2.5
2329,Jet Airways,Delhi,Cochin,2,14300,15,6,2019,5,12,35,12,15,24.333333333333332
2330,IndiGo,Banglore,Delhi,0,4823,6,1,2019,6,10,5,7,10,2.9166666666666665
2331,IndiGo,Mumbai,Hyderabad,0,2754,18,6,2019,1,20,35,19,5,1.5
2332,Multiple carriers,Delhi,Cochin,1,9736,6,3,2019,2,19,15,6,0,13.25
2333,Jet Airways,Banglore,New Delhi,1,7280,21,3,2019,3,14,25,9,45,4.666666666666667
2334,Multiple carriers,Delhi,Cochin,1,7408,6,9,2019,4,21,0,8,0,13.0
2335,Jet Airways,Kolkata,Banglore,1,13044,6,12,2019,4,12,0,20,0,16.0
2336,Air India,Kolkata,Banglore,2,12723,24,5,2019,4,23,15,5,50,17.416666666666668
2337,Jet Airways,Kolkata,Banglore,1,8586,5,6,2019,2,4,40,16,30,12.166666666666666
2338,IndiGo,Delhi,Cochin,1,6316,6,12,2019,4,1,30,16,0,9.5
2339,Jet Airways,Delhi,Cochin,1,15554,5,9,2019,3,19,0,9,0,10.0
2340,SpiceJet,Mumbai,Hyderabad,0,2385,15,3,2019,4,14,30,13,10,1.3333333333333333
2341,Multiple carriers,Delhi,Cochin,1,13587,6,9,2019,4,21,0,13,0,8.0
2342,IndiGo,Delhi,Cochin,1,13790,3,3,2019,6,8,30,2,35,5.916666666666667
2343,Air India,Delhi,Cochin,2,10975,15,5,2019,2,9,25,9,45,23.666666666666668
2344,Jet Airways,Kolkata,Banglore,1,14388,21,5,2019,1,9,20,8,25,24.916666666666668
2345,Multiple carriers,Delhi,Cochin,1,7198,6,6,2019,3,1,30,18,0,7.5
2346,Jet Airways,Delhi,Cochin,2,13029,5,9,2019,3,12,35,9,40,26.916666666666668
2347,Multiple carriers,Delhi,Cochin,1,12717,27,5,2019,0,19,15,7,5,12.166666666666666
2348,IndiGo,Delhi,Cochin,1,14871,3,3,2019,6,13,20,6,40,6.666666666666667
2349,Jet Airways,Kolkata,Banglore,2,10118,6,6,2019,3,20,50,6,30,14.333333333333334
2350,Jet Airways,Delhi,Cochin,1,10262,6,6,2019,3,4,25,22,50,5.583333333333333
2351,Jet Airways,Mumbai,Hyderabad,0,2071,24,3,2019,6,4,25,2,55,1.5
2352,Air India,Banglore,Delhi,0,5228,27,4,2019,5,23,55,21,5,2.8333333333333335
2353,Jet Airways,Banglore,New Delhi,1,7832,21,3,2019,3,11,25,16,55,18.5
2354,Multiple carriers,Delhi,Cochin,1,7005,6,6,2019,3,21,0,11,40,9.333333333333334
2355,Jet Airways,Delhi,Cochin,2,14237,6,9,2019,4,12,35,18,25,18.166666666666668
2356,SpiceJet,Banglore,Delhi,0,3971,4,6,2019,1,0,5,21,10,2.9166666666666665
2357,IndiGo,Banglore,Delhi,0,3943,21,6,2019,4,1,0,22,10,2.8333333333333335
2358,IndiGo,Delhi,Cochin,1,8574,27,3,2019,2,15,30,6,40,8.833333333333334
2359,Air India,Delhi,Cochin,2,12646,15,6,2019,5,19,15,5,55,13.333333333333334
2360,Jet Airways,Delhi,Cochin,2,13082,21,3,2019,3,18,50,13,0,29.833333333333332
2361,Jet Airways,Kolkata,Banglore,1,13941,21,5,2019,1,8,15,8,25,23.833333333333332
2362,GoAir,Delhi,Cochin,1,5135,4,6,2019,1,12,55,7,0,5.916666666666667
2363,Air India,Kolkata,Banglore,1,11096,21,5,2019,1,20,25,10,0,10.416666666666666
2364,Jet Airways,Banglore,New Delhi,1,13555,18,3,2019,0,9,30,22,50,10.666666666666666
2365,Vistara,Banglore,Delhi,0,5403,4,12,2019,2,12,35,9,45,2.8333333333333335
2366,Jet Airways,Delhi,Cochin,2,15812,24,6,2019,0,19,0,11,40,7.333333333333333
2367,Jet Airways,Kolkata,Banglore,1,14781,21,5,2019,1,8,15,20,0,12.25
2368,Air India,Delhi,Cochin,1,8907,6,6,2019,3,23,0,13,30,9.5
2369,Air India,Kolkata,Banglore,0,4145,5,3,2019,1,23,20,20,45,2.5833333333333335
2370,Jet Airways,Kolkata,Banglore,1,14151,6,9,2019,4,9,45,20,25,13.333333333333334
2371,Multiple carriers,Delhi,Cochin,1,7845,27,3,2019,2,15,30,6,0,9.5
2372,Multiple carriers,Delhi,Cochin,1,8099,15,5,2019,2,19,15,9,15,10.0
2373,Multiple carriers,Delhi,Cochin,1,13377,27,5,2019,0,1,30,15,0,10.5
2374,Air India,Banglore,New Delhi,2,12734,3,12,2019,1,11,20,6,50,28.5
2375,Jet Airways,Delhi,Cochin,1,10262,6,3,2019,2,4,25,22,50,5.583333333333333
2376,Jet Airways,Banglore,Delhi,0,7229,15,5,2019,2,22,0,18,55,3.0833333333333335
2377,Vistara,Mumbai,Hyderabad,1,12395,3,6,2019,0,9,25,8,45,24.666666666666668
2378,Jet Airways,Kolkata,Banglore,1,11134,24,3,2019,6,9,15,19,45,13.5
2379,Jet Airways,Delhi,Cochin,1,6540,21,3,2019,3,18,50,13,0,5.833333333333333
2380,Multiple carriers,Delhi,Cochin,1,7354,6,6,2019,3,19,15,6,40,12.583333333333334
2381,Air India,Delhi,Cochin,2,9548,24,6,2019,0,7,40,12,0,19.666666666666668
2382,Vistara,Kolkata,Banglore,1,9187,5,1,2019,5,10,45,7,10,27.583333333333332
2383,IndiGo,Delhi,Cochin,1,5054,5,9,2019,3,12,10,7,35,4.583333333333333
2384,Air India,Kolkata,Banglore,1,10413,6,9,2019,4,20,25,10,0,10.416666666666666
2385,IndiGo,Kolkata,Banglore,0,4804,27,5,2019,0,0,5,21,25,2.6666666666666665
2386,IndiGo,Mumbai,Hyderabad,0,4049,15,6,2019,5,7,55,6,25,1.5
2387,Multiple carriers,Delhi,Cochin,1,6795,27,6,2019,3,1,30,19,0,6.5
2388,Air India,Kolkata,Banglore,0,4435,21,3,2019,3,23,20,20,45,2.5833333333333335
2389,Jet Airways,Kolkata,Banglore,1,6224,6,12,2019,4,4,40,16,30,12.166666666666666
2390,IndiGo,Kolkata,Banglore,0,4804,6,12,2019,4,22,55,20,20,2.5833333333333335
2391,IndiGo,Delhi,Cochin,1,6171,15,4,2019,0,16,10,5,5,11.083333333333334
2392,IndiGo,Delhi,Cochin,1,6093,6,3,2019,2,21,0,11,25,9.583333333333334
2393,IndiGo,Kolkata,Banglore,0,4174,4,12,2019,2,19,50,17,15,2.5833333333333335
2394,IndiGo,Mumbai,Hyderabad,0,3342,5,6,2019,2,4,5,2,35,1.5
2395,Multiple carriers,Delhi,Cochin,1,13587,6,3,2019,2,21,0,10,0,11.0
2396,Jet Airways,Delhi,Cochin,1,16079,21,5,2019,1,4,25,21,50,6.583333333333333
2397,IndiGo,Delhi,Cochin,0,6015,18,4,2019,3,8,50,5,35,3.25
2398,Jet Airways,Kolkata,Banglore,1,13067,24,5,2019,4,19,10,17,0,26.166666666666668
2399,Multiple carriers,Delhi,Cochin,1,9103,15,5,2019,2,12,35,4,55,7.666666666666667
2400,Jet Airways,Kolkata,Banglore,1,14151,24,5,2019,4,23,35,20,25,27.166666666666668
2401,Jet Airways,Delhi,Cochin,2,11538,27,3,2019,2,18,50,6,20,12.5
2402,IndiGo,Delhi,Cochin,2,8146,3,9,2019,1,21,20,8,35,12.75
2403,Air India,Kolkata,Banglore,1,6117,5,6,2019,2,4,40,19,0,9.666666666666666
2404,Jet Airways,Delhi,Cochin,1,17024,3,3,2019,6,4,25,2,15,26.166666666666668
2405,Jet Airways,Banglore,New Delhi,1,22270,3,1,2019,3,7,40,14,5,17.583333333333332
2406,Jet Airways,Kolkata,Banglore,1,12692,6,9,2019,4,21,5,20,25,24.666666666666668
2407,Vistara,Kolkata,Banglore,1,8610,6,12,2019,4,20,20,7,10,13.166666666666666
2408,Multiple carriers,Delhi,Cochin,1,6723,24,6,2019,0,22,30,7,10,15.333333333333334
2409,Vistara,Banglore,Delhi,0,4878,5,12,2019,3,19,35,17,0,2.5833333333333335
2410,Jet Airways,Banglore,New Delhi,1,16736,3,6,2019,0,7,40,20,35,11.083333333333334
2411,Jet Airways,Kolkata,Banglore,1,11134,24,3,2019,6,9,15,13,55,19.333333333333332
2412,IndiGo,Banglore,Delhi,0,3943,5,3,2019,1,6,50,4,0,2.8333333333333335
2413,Multiple carriers,Delhi,Cochin,1,13587,6,12,2019,4,21,0,9,0,12.0
2414,Jet Airways,Delhi,Cochin,2,16914,3,6,2019,0,4,25,5,25,23.0
2415,SpiceJet,Mumbai,Hyderabad,0,1965,18,5,2019,5,0,15,22,45,1.5
2416,Multiple carriers,Delhi,Cochin,1,8073,5,9,2019,3,21,0,13,0,8.0
2417,IndiGo,Banglore,Delhi,0,3943,6,3,2019,2,15,50,13,0,2.8333333333333335
2418,IndiGo,Kolkata,Banglore,1,5170,5,12,2019,3,20,5,15,15,4.833333333333333
2419,GoAir,Banglore,Delhi,0,3398,15,5,2019,2,14,30,11,40,2.8333333333333335
2420,Air Asia,Kolkata,Banglore,0,4409,18,4,2019,3,12,55,10,20,2.5833333333333335
2421,Jet Airways,Banglore,Delhi,0,8541,21,6,2019,4,20,45,17,45,3.0
2422,IndiGo,Banglore,New Delhi,0,4777,21,3,2019,3,6,50,4,0,2.8333333333333335
2423,SpiceJet,Kolkata,Banglore,0,3847,18,3,2019,0,0,40,22,20,2.3333333333333335
2424,Jet Airways,Kolkata,Banglore,1,7064,4,1,2019,4,12,0,18,55,17.083333333333332
2425,Vistara,Banglore,Delhi,0,4668,27,5,2019,0,23,50,21,0,2.8333333333333335
2426,SpiceJet,Mumbai,Hyderabad,0,1965,18,3,2019,0,0,10,22,45,1.4166666666666667
2427,Jet Airways,Kolkata,Banglore,1,14781,21,5,2019,1,16,20,6,30,9.833333333333334
2428,IndiGo,Mumbai,Hyderabad,0,4049,15,6,2019,5,10,40,9,10,1.5
2429,Jet Airways,Kolkata,Banglore,1,13584,18,5,2019,5,8,15,18,55,13.333333333333334
2430,Jet Airways,Delhi,Cochin,1,12373,18,5,2019,5,12,35,20,55,15.666666666666666
2431,Jet Airways,Delhi,Cochin,1,16079,27,5,2019,0,19,0,16,0,27.0
2432,Jet Airways,Banglore,Delhi,0,7229,24,5,2019,4,11,20,8,20,3.0
2433,Jet Airways,Banglore,New Delhi,1,17471,3,6,2019,0,21,20,21,25,23.916666666666668
2434,Jet Airways,Kolkata,Banglore,1,14781,5,12,2019,3,16,20,6,30,9.833333333333334
2435,Jet Airways,Kolkata,Banglore,1,14571,6,9,2019,4,19,50,6,30,13.333333333333334
2436,Multiple carriers,Delhi,Cochin,1,10197,18,5,2019,5,12,35,3,50,8.75
2437,SpiceJet,Delhi,Cochin,1,5975,6,1,2019,6,22,50,17,55,4.916666666666667
2438,Multiple carriers,Delhi,Cochin,1,8535,4,9,2019,2,1,30,17,45,7.75
2439,Multiple carriers,Delhi,Cochin,1,12537,27,3,2019,2,21,0,9,55,11.083333333333334
2440,Air India,Kolkata,Banglore,0,4145,24,5,2019,4,23,20,20,45,2.5833333333333335
2441,IndiGo,Mumbai,Hyderabad,0,4049,15,3,2019,4,10,40,9,10,1.5
2442,Air Asia,Kolkata,Banglore,1,5192,5,9,2019,3,10,40,22,40,12.0
2443,Air India,Banglore,Delhi,0,6121,5,9,2019,3,23,55,21,5,2.8333333333333335
2444,Air India,Delhi,Cochin,1,8669,24,6,2019,0,19,15,3,50,15.416666666666666
2445,Multiple carriers,Delhi,Cochin,1,8476,18,5,2019,5,19,15,6,0,13.25
2446,SpiceJet,Mumbai,Hyderabad,0,2647,21,6,2019,4,7,15,5,45,1.5
2447,Jet Airways,Delhi,Cochin,1,14714,6,6,2019,3,19,0,20,55,22.083333333333332
2448,Air India,Delhi,Cochin,1,10566,3,6,2019,0,8,15,20,30,11.75
2449,Jet Airways,Delhi,Cochin,1,10262,15,6,2019,5,19,0,11,30,7.5
2450,Multiple carriers,Delhi,Cochin,1,8098,21,3,2019,3,1,35,10,0,15.583333333333334
2451,Multiple carriers,Delhi,Cochin,1,6883,27,3,2019,2,21,0,10,0,11.0
2452,Multiple carriers,Delhi,Cochin,1,16108,15,6,2019,5,19,15,10,0,9.25
2453,SpiceJet,Kolkata,Banglore,0,4413,18,3,2019,0,19,45,17,15,2.5
2454,Jet Airways,Delhi,Cochin,2,10919,6,1,2019,6,12,35,14,35,22.0
2455,IndiGo,Kolkata,Banglore,0,4804,5,9,2019,3,0,5,21,25,2.6666666666666665
2456,Jet Airways,Kolkata,Banglore,1,10539,6,6,2019,3,10,55,20,25,14.5
2457,IndiGo,Banglore,New Delhi,0,4377,3,9,2019,1,1,10,22,20,2.8333333333333335
2458,Air India,Banglore,Delhi,0,6961,6,6,2019,3,8,55,6,10,2.75
2459,Multiple carriers,Delhi,Cochin,1,7408,27,5,2019,0,21,0,13,0,8.0
2460,IndiGo,Banglore,Delhi,0,4823,5,9,2019,3,21,50,18,55,2.9166666666666665
2461,IndiGo,Kolkata,Banglore,0,5198,21,3,2019,3,16,55,14,20,2.5833333333333335
2462,Jet Airways,Delhi,Cochin,1,10262,6,1,2019,6,19,0,17,30,25.5
2463,Vistara,Banglore,Delhi,0,5613,27,4,2019,5,19,35,17,0,2.5833333333333335
2464,Jet Airways,Delhi,Cochin,1,10262,6,12,2019,4,4,25,20,55,7.5
2465,IndiGo,Mumbai,Hyderabad,0,5755,5,3,2019,1,10,40,9,10,1.5
2466,Vistara,Chennai,Kolkata,0,3687,21,5,2019,1,9,20,7,5,2.25
2467,Jet Airways,Mumbai,Hyderabad,0,5678,6,3,2019,2,21,5,19,35,1.5
2468,Multiple carriers,Delhi,Cochin,1,13542,21,3,2019,3,1,35,18,15,7.333333333333333
2469,Jet Airways,Delhi,Cochin,1,12347,21,3,2019,3,18,50,19,15,23.583333333333332
2470,Jet Airways,Kolkata,Banglore,1,12384,21,5,2019,1,19,10,9,35,9.583333333333334
2471,Jet Airways,Delhi,Cochin,2,10909,4,9,2019,2,4,25,5,30,22.916666666666668
2472,IndiGo,Banglore,Delhi,0,4823,6,3,2019,2,19,55,16,55,3.0
2473,IndiGo,Delhi,Cochin,1,6069,6,12,2019,4,21,0,16,0,5.0
2474,Jet Airways,Delhi,Cochin,1,12898,21,5,2019,1,19,0,16,0,27.0
2475,IndiGo,Kolkata,Banglore,0,4804,15,6,2019,5,7,15,4,40,2.5833333333333335
2476,Jet Airways,Kolkata,Banglore,1,10031,24,3,2019,6,4,45,8,25,20.333333333333332
2477,IndiGo,Delhi,Cochin,1,6442,6,9,2019,4,22,30,7,35,14.916666666666666
2478,Air India,Delhi,Cochin,2,9653,21,5,2019,1,7,40,12,0,19.666666666666668
2479,Vistara,Kolkata,Banglore,1,8610,6,9,2019,4,20,20,17,0,27.333333333333332
2480,Jet Airways,Delhi,Cochin,1,14714,6,12,2019,4,19,0,14,0,5.0
2481,Air India,Banglore,New Delhi,1,12599,3,1,2019,3,23,55,0,30,23.416666666666668
2482,Multiple carriers,Delhi,Cochin,1,9103,5,9,2019,3,19,0,4,55,14.083333333333334
2483,Jet Airways,Delhi,Cochin,1,12898,21,5,2019,1,4,25,22,50,5.583333333333333
2484,SpiceJet,Mumbai,Hyderabad,0,2647,6,6,2019,3,7,15,5,45,1.5
2485,Jet Airways,Mumbai,Hyderabad,0,5678,3,3,2019,6,8,35,7,10,1.4166666666666667
2486,Jet Airways,Delhi,Cochin,1,12373,18,5,2019,5,12,35,19,15,17.333333333333332
2487,SpiceJet,Kolkata,Banglore,0,3847,27,3,2019,2,19,45,17,15,2.5
2488,Jet Airways,Kolkata,Banglore,1,14151,21,5,2019,1,18,0,17,0,25.0
2489,Jet Airways,Delhi,Cochin,1,13843,3,6,2019,0,4,25,8,0,20.416666666666668
2490,Jet Airways,Banglore,Delhi,0,7229,18,5,2019,5,18,10,15,15,2.9166666666666665
2491,Jet Airways,Mumbai,Hyderabad,0,4995,18,6,2019,1,4,20,2,55,1.4166666666666667
2492,Jet Airways,Delhi,Cochin,1,10262,6,6,2019,3,4,25,20,55,7.5
2493,Jet Airways,Delhi,Cochin,2,13029,5,9,2019,3,4,25,5,30,22.916666666666668
2494,Jet Airways,Delhi,Cochin,1,14053,3,9,2019,1,4,25,19,15,9.166666666666666
2495,Jet Airways,Banglore,New Delhi,1,26890,3,1,2019,3,7,40,16,55,14.75
2496,SpiceJet,Kolkata,Banglore,0,3841,4,1,2019,4,19,40,17,10,2.5
2497,Air India,Banglore,New Delhi,1,11003,3,1,2019,3,22,55,10,30,12.416666666666666
2498,Vistara,Banglore,Delhi,0,5403,4,9,2019,2,14,20,11,30,2.8333333333333335
2499,Multiple carriers,Delhi,Cochin,1,15342,3,3,2019,6,18,50,8,0,10.833333333333334
2500,Air India,Kolkata,Banglore,2,12224,6,12,2019,4,13,45,20,30,17.25
2501,IndiGo,Chennai,Kolkata,0,6297,15,3,2019,4,21,55,19,35,2.3333333333333335
2502,SpiceJet,Kolkata,Banglore,1,8844,5,1,2019,5,21,25,15,55,5.5
2503,Multiple carriers,Delhi,Cochin,1,13377,6,1,2019,6,1,30,14,0,11.5
2504,GoAir,Banglore,New Delhi,0,5706,3,9,2019,1,23,50,20,55,2.9166666666666665
2505,Air India,Delhi,Cochin,1,8372,6,12,2019,4,7,40,21,0,10.666666666666666
2506,IndiGo,Delhi,Cochin,1,6526,27,5,2019,0,21,0,6,40,14.333333333333334
2507,IndiGo,Banglore,Delhi,0,4823,6,1,2019,6,19,45,16,55,2.8333333333333335
2508,IndiGo,Mumbai,Hyderabad,0,3175,24,6,2019,0,18,25,16,55,1.5
2509,Multiple carriers,Delhi,Cochin,1,10407,5,6,2019,2,19,0,9,0,10.0
2510,IndiGo,Banglore,Delhi,0,4423,18,4,2019,3,6,50,4,0,2.8333333333333335
2511,Vistara,Kolkata,Banglore,1,9555,5,9,2019,3,20,20,17,0,27.333333333333332
2512,Jet Airways,Kolkata,Banglore,1,12681,4,1,2019,4,16,20,16,30,23.833333333333332
2513,Jet Airways,Kolkata,Banglore,1,13059,6,6,2019,3,4,40,14,5,14.583333333333334
2514,Jet Airways,Kolkata,Banglore,1,8586,5,9,2019,3,10,5,16,30,17.583333333333332
2515,GoAir,Banglore,Delhi,0,3419,4,6,2019,1,23,40,20,55,2.75
2516,SpiceJet,Kolkata,Banglore,0,3873,6,3,2019,2,19,40,17,10,2.5
2517,Air India,Kolkata,Banglore,1,10203,6,6,2019,3,20,25,10,0,10.416666666666666
2518,Jet Airways,Delhi,Cochin,2,13029,27,5,2019,0,4,25,19,30,8.916666666666666
2519,Jet Airways,Kolkata,Banglore,1,10844,15,5,2019,2,22,35,16,30,6.083333333333333
2520,Jet Airways,Kolkata,Banglore,1,11134,24,3,2019,6,8,10,18,55,13.25
2521,Vistara,Kolkata,Banglore,1,8610,6,12,2019,4,18,50,20,20,22.5
2522,IndiGo,Kolkata,Banglore,0,4174,15,4,2019,0,22,55,20,20,2.5833333333333335
2523,Jet Airways,Banglore,New Delhi,1,11087,3,9,2019,1,9,30,8,0,25.5
2524,SpiceJet,Banglore,Delhi,0,3971,18,6,2019,1,0,5,21,10,2.9166666666666665
2525,Jet Airways,Delhi,Cochin,1,17531,4,9,2019,2,19,0,7,5,11.916666666666666
2526,SpiceJet,Banglore,Delhi,0,3573,6,6,2019,3,8,35,5,55,2.6666666666666665
2527,Air India,Kolkata,Banglore,1,8366,5,1,2019,5,7,55,9,25,22.5
2528,Air India,Kolkata,Banglore,0,13885,3,3,2019,6,16,45,14,15,2.5
2529,Multiple carriers,Delhi,Cochin,2,18485,6,9,2019,4,1,30,17,50,7.666666666666667
2530,Air Asia,Kolkata,Banglore,0,4409,27,4,2019,5,22,25,19,55,2.5
2531,Vistara,Kolkata,Banglore,1,8085,5,1,2019,5,23,25,20,20,27.083333333333332
2532,Multiple carriers,Delhi,Cochin,1,13377,6,6,2019,3,1,30,17,30,8.0
2533,Air India,Delhi,Cochin,2,13538,21,5,2019,1,7,40,13,20,18.333333333333332
2534,Multiple carriers,Delhi,Cochin,1,15147,3,6,2019,0,1,35,19,0,6.583333333333333
2535,Jet Airways,Banglore,Delhi,0,4030,27,5,2019,0,14,5,11,10,2.9166666666666665
2536,Multiple carriers,Delhi,Cochin,1,14848,6,6,2019,3,19,15,8,0,11.25
2537,Jet Airways,Banglore,New Delhi,1,13555,18,3,2019,0,8,15,22,50,9.416666666666666
2538,Air India,Delhi,Cochin,2,10975,18,5,2019,5,9,25,7,5,26.333333333333332
2539,Jet Airways,Delhi,Cochin,2,13029,21,5,2019,1,12,35,9,40,26.916666666666668
2540,Jet Airways,Kolkata,Banglore,1,9663,5,12,2019,3,9,20,8,25,24.916666666666668
2541,Jet Airways,Mumbai,Hyderabad,0,4050,6,1,2019,6,11,50,10,20,1.5
2542,Jet Airways,Delhi,Cochin,1,14714,6,3,2019,2,4,25,17,30,10.916666666666666
2543,Air India,Banglore,New Delhi,2,11213,3,1,2019,3,21,25,10,30,10.916666666666666
2544,Jet Airways,Banglore,Delhi,0,4544,4,9,2019,2,8,45,6,0,2.75
2545,SpiceJet,Kolkata,Banglore,0,3873,15,6,2019,5,11,25,9,0,2.4166666666666665
2546,Multiple carriers,Delhi,Cochin,1,12537,4,9,2019,2,21,0,13,0,8.0
2547,Jet Airways,Kolkata,Banglore,1,13067,5,6,2019,2,19,10,9,35,9.583333333333334
2549,Air India,Banglore,New Delhi,1,8714,15,3,2019,4,12,15,6,45,5.5
2550,Jet Airways,Delhi,Cochin,2,13376,6,3,2019,2,12,35,14,35,22.0
2551,SpiceJet,Chennai,Kolkata,0,3597,27,6,2019,3,10,35,8,20,2.25
2552,Multiple carriers,Delhi,Cochin,1,7670,18,5,2019,5,1,30,12,50,12.666666666666666
2553,Air India,Kolkata,Banglore,2,14410,24,3,2019,6,23,15,9,50,37.416666666666664
2554,Air India,Delhi,Cochin,1,7480,15,5,2019,2,9,25,9,45,23.666666666666668
2555,Jet Airways,Kolkata,Banglore,1,13584,5,9,2019,3,18,15,20,0,22.25
2556,Jet Airways,Banglore,New Delhi,1,25735,3,1,2019,3,10,25,16,55,17.5
2557,Jet Airways,Banglore,Delhi,0,4544,4,1,2019,4,20,45,17,45,3.0
2558,Multiple carriers,Delhi,Cochin,1,8099,21,5,2019,1,19,15,9,15,10.0
2559,Jet Airways,Kolkata,Banglore,1,10844,15,5,2019,2,4,40,16,30,12.166666666666666
2560,Jet Airways,Delhi,Cochin,1,12557,21,3,2019,3,4,25,19,15,9.166666666666666
2561,Jet Airways,Delhi,Cochin,0,9564,5,9,2019,3,14,15,11,0,3.25
2562,Jet Airways,Banglore,New Delhi,1,13817,3,12,2019,1,9,30,21,25,12.083333333333334
2563,Jet Airways,Kolkata,Banglore,1,12384,18,5,2019,5,19,10,9,35,9.583333333333334
